id,url,title,content,scraped_at
1,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html,The Murder That Never Was (Forensic Instincts #5),"{""title"": ""The Murder That Never Was (Forensic Instincts #5)"", ""price"": 54.11, ""rating"": 3, ""in_stock"": true}",2026-03-08 16:38:20
2,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Tuesday Nights in 1980,"{""title"": ""Tuesday Nights in 1980"", ""price"": 21.04, ""rating"": 2, ""in_stock"": true}",2026-03-08 16:38:20
3,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html,The Vacationers,"{""title"": ""The Vacationers"", ""price"": 42.15, ""rating"": 4, ""in_stock"": true}",2026-03-08 16:38:20
4,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html,The Testament of Mary,"{""title"": ""The Testament of Mary"", ""price"": 52.67, ""rating"": 4, ""in_stock"": true}",2026-03-08 16:38:20
5,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html,The First Hostage (J.B. Collins #2),"{""title"": ""The First Hostage (J.B. Collins #2)"", ""price"": 25.85, ""rating"": 3, ""in_stock"": true}",2026-03-08 16:38:20
6,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Take Me with You,"{""title"": ""Take Me with You"", ""price"": 45.21, ""rating"": 3, ""in_stock"": true}",2026-03-08 16:38:20
7,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Still Life with Bread Crumbs,"{""title"": ""Still Life with Bread Crumbs"", ""price"": 26.41, ""rating"": 3, ""in_stock"": true}",2026-03-08 16:38:20
8,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Shtum,"{""title"": ""Shtum"", ""price"": 55.84, ""rating"": 4, ""in_stock"": true}",2026-03-08 16:38:20
9,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html,My Mrs. Brown,"{""title"": ""My Mrs. Brown"", ""price"": 24.48, ""rating"": 3, ""in_stock"": true}",2026-03-08 16:38:20
10,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html,I Am Pilgrim (Pilgrim #1),"{""title"": ""I Am Pilgrim (Pilgrim #1)"", ""price"": 10.6, ""rating"": 4, ""in_stock"": true}",2026-03-08 16:38:20
11,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Eligible (The Austen Project #4),"{""title"": ""Eligible (The Austen Project #4)"", ""price"": 27.09, ""rating"": 3, ""in_stock"": true}",2026-03-08 16:38:20
12,http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html,Eight Hundred Grapes,"{""title"": ""Eight Hundred Grapes"", ""price"": 14.39, ""rating"": 4, ""in_stock"": true}",2026-03-08 16:38:21
